lsc_year,analysis_unit,frame_stratum,term_role,target_group,valence_mean,valence_sd,arousal_mean_for_reuse,dominance_mean_for_reuse,matched_vad_units,unique_collocates,documents_with_matches,context_rows,documents,candidate_collocate_tokens,matched_vad_units_coverage,matched_token_positions,contexts_with_vad_match,matched_token_coverage,context_match_coverage,small_cell_flag,bootstrap_repetitions,bootstrap_unit,valence_bootstrap_mean,valence_ci_low,valence_ci_high
2024,Autism,lived_only,target,Autism,0.22512013888888888,0.43840634258658695,-0.024344191261574073,0.1226648582175926,2304,911,449,651,454,2714,2304,2385,642,0.8787767133382461,0.9861751152073732,False,500,doc_id,0.22529996037377395,0.20163468033068255,0.2485041009278624
2025,Autism,lived_only,target,Autism,0.12612971308702126,0.5345540970056742,0.07933675734199486,0.15409743537691162,2463,872,564,746,566,2823,2463,2512,744,0.889833510449876,0.9973190348525469,False,500,doc_id,0.1266270698753217,0.09336636724931664,0.15780258995735577
2026,Autism,lived_only,target,Autism,0.2326361386138614,0.42228826048866114,-0.021980106343967732,0.12067491749174918,909,462,170,250,170,1088,909,942,249,0.8658088235294118,0.996,False,500,doc_id,0.232445340428367,0.19698550282042598,0.2683870639776889
2014,Autism,mixed,target,Autism,0.1944958454507686,0.4590891542330412,-0.008241420855837138,0.1060078659465448,2407,896,501,660,502,2797,2407,2479,658,0.8863067572398999,0.996969696969697,False,500,doc_id,0.1943276765833018,0.17115960154251408,0.21458481135821764
2015,Autism,mixed,target,Autism,0.20602658669389146,0.4571943980379915,-0.012233580057852644,0.10666965288412454,1959,795,411,539,413,2307,1959,2023,536,0.8768964022540096,0.9944341372912802,False,500,doc_id,0.20517257903567548,0.17899271799073468,0.23067048400271273
2016,Autism,mixed,target,Autism,0.21569081187849068,0.44600796784413277,-0.017441663261136085,0.1111250578940199,2447,933,500,678,501,2892,2447,2525,673,0.8730982019363762,0.9926253687315634,False,500,doc_id,0.21549705100066083,0.19308813737089656,0.2375717994943996
2017,Autism,mixed,target,Autism,0.21065816918613528,0.45384430320796737,-0.018486669720568023,0.09983063826538403,2183,845,456,627,457,2556,2183,2248,624,0.8794992175273866,0.9952153110047847,False,500,doc_id,0.2103857306097663,0.18861229725147546,0.23227478671604754
2018,Autism,mixed,target,Autism,0.184615981531129,0.45372328323849753,-0.009541056002383079,0.09929718498659518,2238,866,475,620,477,2583,2238,2313,615,0.8954703832752613,0.9919354838709677,False,500,doc_id,0.18505444498354712,0.16209788330049726,0.2060622184257581
2019,Autism,mixed,target,Autism,0.20231498848305365,0.4548033767646455,0.005305939453767688,0.11037731161566305,2026,788,400,546,403,2375,2026,2112,543,0.8892631578947369,0.9945054945054945,False,500,doc_id,0.20274190889872204,0.17631234081400468,0.22717312386130775
2020,Autism,mixed,target,Autism,0.19065251754385965,0.4619705808810372,-0.012128499999999999,0.0992545350877193,1900,810,385,525,388,2234,1900,1966,521,0.8800358102059087,0.9923809523809524,False,500,doc_id,0.19023267133332647,0.16178133074009252,0.21635799072223563
2021,Autism,mixed,target,Autism,0.21480999667332004,0.45199039068290403,-0.010073960412508314,0.10493562042581504,2004,816,402,551,407,2338,2004,2068,544,0.8845166809238666,0.9872958257713249,False,500,doc_id,0.21522089967509778,0.18837869328040951,0.24184947679616506
2022,Autism,mixed,target,Autism,0.19767185278126306,0.46318195183983507,-0.016894521120869928,0.1007008887494772,1594,675,317,421,318,1832,1594,1637,419,0.8935589519650655,0.995249406175772,False,500,doc_id,0.19705668568434645,0.16563058641775463,0.22326433565064818
2023,Autism,mixed,target,Autism,0.19043410852713177,0.4621038193929802,0.008146560077519382,0.12044391957364341,1376,646,281,372,283,1604,1376,1417,370,0.8834164588528678,0.9946236559139785,False,500,doc_id,0.1917641904471522,0.16263001166915605,0.22088720751567864
2024,Autism,mixed,target,Autism,0.22186830777508745,0.4470446554350669,0.001572101156846922,0.14202528921172988,1239,580,229,315,229,1405,1239,1282,314,0.9124555160142349,0.9968253968253968,False,500,doc_id,0.22064246072894614,0.1871241215243049,0.252132096799338
2025,Autism,mixed,target,Autism,0.22328982134461686,0.4457185402406222,0.010355418429713215,0.1458039844851904,1418,643,272,357,273,1693,1418,1450,355,0.8564678086237448,0.9943977591036415,False,500,doc_id,0.22256497328145292,0.18851822133302484,0.2550556416840861
