analysis_unit,frame_stratum,collocate,occurrences,documents,arousal_warriner_mean,arousal_scaled_mean,valence_warriner_mean,source_terms,unit_frame_occurrences,collocate_share
frustration,unframed_baseline,pain,1250,1219,6.27,0.65875,2.0,pain,333098,0.0037526493704555415
loneliness,unframed_baseline,isolation,3992,3591,3.0,0.25,3.77,isolation,122663,0.032544451056960945
loneliness,unframed_baseline,depression,1914,1809,5.2,0.525,2.44,depression,122663,0.015603727285326463
loneliness,unframed_baseline,social,1529,1344,5.16,0.52,6.08,social,122663,0.012465046509542405
loneliness,unframed_baseline,feel,1366,1308,3.9549999999999996,0.369375,6.385,feel|feeling,122663,0.011136202440833829
loneliness,unframed_baseline,anxiety,1282,1233,4.78,0.47250000000000003,2.38,anxiety,122663,0.010451399362480943
loneliness,unframed_baseline,experience,1148,1103,3.71,0.33875,6.89,experience,122663,0.009358975404156103
loneliness,unframed_baseline,fear,1132,1076,6.14,0.6425,2.93,fear,122663,0.009228536722565076
loneliness,unframed_baseline,life,1085,1051,5.59,0.57375,6.68,life,122663,0.008845373095391438
loneliness,unframed_baseline,help,1082,1030,4.29,0.41125,6.95,help,122663,0.00882091584259312
loneliness,unframed_baseline,people,1050,990,3.77,0.34625,5.7,people,122663,0.008560038479411069
loneliness,unframed_baseline,reduce,1012,933,3.67,0.33375,5.1,reduce,122663,0.008250246610632382
loneliness,unframed_baseline,lead,946,923,3.7350000000000003,0.34187500000000004,5.039999999999999,lead|leaded,122663,0.007712187049069402
loneliness,unframed_baseline,love,861,824,5.475,0.559375,7.825,love|loved,122663,0.007019231553117077
loneliness,unframed_baseline,sense,828,799,3.7000000000000006,0.3375000000000001,6.09,sense,122663,0.006750201772335586
loneliness,unframed_baseline,time,825,793,3.3333333333333335,0.2916666666666667,5.726666666666667,time|times|timing,122663,0.006725744519537269
loneliness,unframed_baseline,combat,778,739,6.089999999999999,0.63625,2.9500000000000006,combat,122663,0.0063425808923636305
loneliness,unframed_baseline,stress,768,741,4.72,0.465,1.79,stress,122663,0.006261056716369239
loneliness,unframed_baseline,sadness,757,739,2.81,0.22625,2.4,sadness,122663,0.006171380122775409
loneliness,unframed_baseline,pain,674,651,6.27,0.65875,2.0,pain,122663,0.005494729462021963
loneliness,unframed_baseline,boredom,660,632,2.58,0.19749999999999998,2.77,boredom,122663,0.005380595615629815
loneliness,unframed_baseline,health,649,593,3.48,0.31,6.85,health,122663,0.005290919022035985
loneliness,unframed_baseline,self,644,605,4.78,0.47250000000000003,6.86,self,122663,0.00525015693403879
loneliness,unframed_baseline,increase,597,562,5.06,0.5075,5.9,increase,122663,0.0048669933068651505
loneliness,unframed_baseline,like,581,560,4.4,0.42500000000000004,7.44,like,122663,0.0047365546252741255
loneliness,unframed_baseline,frustration,568,562,5.94,0.6175,2.45,frustration,122663,0.004630573196481417
sadness,unframed_baseline,anger,4771,4501,5.93,0.61625,2.5,anger,157110,0.030367258608618164
sadness,unframed_baseline,feel,3554,3336,3.955,0.369375,6.385000000000001,feel|feeling,157110,0.02262109350136847
sadness,unframed_baseline,great,2909,2777,4.14,0.3924999999999999,7.5,great,157110,0.018515689644198332
sadness,unframed_baseline,fear,2487,2351,6.14,0.6425,2.93,fear,157110,0.015829673477181592
sadness,unframed_baseline,joy,2079,1973,5.55,0.56875,8.21,joy,157110,0.013232766851250716
sadness,unframed_baseline,deep,1883,1810,3.9,0.3625,5.44,deep,157110,0.011985233276048628
sadness,unframed_baseline,anxiety,1849,1751,4.78,0.47250000000000003,2.38,anxiety,157110,0.011768824390554388
sadness,unframed_baseline,depression,1817,1635,5.2,0.525,2.44,depression,157110,0.011565145439500987
sadness,unframed_baseline,loss,1646,1579,5.2,0.525,2.9,loss,157110,0.010476736044809368
sadness,unframed_baseline,grief,1623,1522,4.95,0.49375,2.33,grief,157110,0.010330341798739736
sadness,unframed_baseline,pain,1521,1467,6.2700000000000005,0.65875,2.0,pain,157110,0.009681115142257017
sadness,unframed_baseline,express,1513,1460,4.79,0.47375000000000006,5.530000000000001,express,157110,0.009630195404493667
sadness,unframed_baseline,happiness,1432,1364,6.5,0.6875,8.48,happiness,157110,0.009114633059639743
sadness,unframed_baseline,emotion,1429,1379,4.75,0.46875,6.62,emotion,157110,0.009095538157978486
sadness,unframed_baseline,time,1213,1170,3.3333333333333335,0.2916666666666667,5.726666666666667,time|times|timing,157110,0.007720705238368023
sadness,unframed_baseline,experience,1121,1077,3.71,0.33875,6.89,experience,157110,0.007135128254089492
sadness,unframed_baseline,like,1117,1075,4.4,0.42500000000000004,7.4399999999999995,like,157110,0.007109668385207817
sadness,unframed_baseline,frustration,985,955,5.94,0.6175,2.45,frustration,157110,0.006269492712112533
sadness,unframed_baseline,sense,971,917,3.7,0.3375,6.089999999999999,sense,157110,0.00618038317102667
sadness,unframed_baseline,life,881,850,5.59,0.57375,6.68,life,157110,0.005607536121188976
sadness,unframed_baseline,announce,849,831,3.65,0.33125,5.52,announce,157110,0.005403857170135574
sadness,unframed_baseline,come,842,814,3.5700000000000003,0.32125000000000004,5.640000000000001,come,157110,0.005359302399592642
sadness,unframed_baseline,heart,813,800,5.069999999999999,0.50875,6.95,heart,157110,0.005174718350200496
sadness,unframed_baseline,love,800,753,5.475,0.559375,7.825,love|loved,157110,0.005091973776335052
sadness,unframed_baseline,guilt,773,751,4.48,0.43500000000000005,2.29,guilt,157110,0.0049201196613837435
